               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.91968,               3.068,              1.3828,             0.22376,             0.60174,             0.38604,             0.32146,             0.62365,              2.2136,                1.25,            0.070526,           0.0032749,           0.0032749
                   1,             0.68643,              1.9787,              1.2266,              0.2888,             0.47581,             0.37429,             0.27145,             0.83733,              2.3572,              1.4482,            0.040308,           0.0063901,           0.0063901
                   2,             0.70807,              1.5957,              1.2159,              0.4652,             0.49675,             0.36388,             0.28144,             0.84421,              2.9138,              1.5631,           0.0098702,           0.0092854,           0.0092854
                   3,             0.78313,              1.5532,              1.2725,             0.35565,             0.61739,             0.47888,             0.32839,              1.0263,              2.2401,              1.7685,             0.00901,             0.00901,             0.00901
                   4,             0.78527,              1.4239,              1.2703,             0.46274,             0.50214,             0.39945,             0.22119,                1.35,              2.7977,              2.0669,             0.00901,             0.00901,             0.00901
                   5,              0.8293,              1.4818,              1.3126,             0.52847,             0.64965,             0.60076,             0.46582,             0.78286,              1.5681,              1.4227,             0.00868,             0.00868,             0.00868
                   6,             0.82355,              1.3909,              1.2942,             0.68196,             0.55268,             0.59085,             0.43801,             0.83402,               1.437,              1.5395,             0.00835,             0.00835,             0.00835
                   7,             0.78871,              1.3144,              1.2592,             0.71504,             0.45249,              0.5751,             0.44101,             0.84808,              1.4251,              1.4578,             0.00802,             0.00802,             0.00802
                   8,             0.83402,              1.3815,              1.3176,             0.50661,             0.33978,             0.33241,             0.25703,              1.1982,              2.2768,              1.9452,             0.00769,             0.00769,             0.00769
                   9,             0.74631,              1.2241,              1.2481,             0.57731,             0.50364,             0.56039,              0.4121,              1.0185,              1.6661,              1.7739,             0.00736,             0.00736,             0.00736
                  10,             0.76302,              1.2497,              1.2739,             0.70457,             0.58521,             0.63051,             0.48209,             0.80501,              1.2789,               1.463,             0.00703,             0.00703,             0.00703
                  11,             0.72942,              1.1953,              1.2395,             0.65437,             0.67766,             0.71206,             0.58981,             0.66421,             0.99129,              1.2613,              0.0067,              0.0067,              0.0067
                  12,             0.73417,              1.2026,              1.2402,             0.73144,             0.60731,             0.71149,             0.57757,             0.68034,              1.0597,              1.2934,             0.00637,             0.00637,             0.00637
                  13,             0.70986,              1.1324,               1.219,             0.67324,             0.62675,             0.69151,             0.57427,             0.67945,              1.1412,              1.2516,             0.00604,             0.00604,             0.00604
                  14,             0.70331,              1.0824,              1.2235,             0.68436,             0.73485,             0.78545,             0.66056,             0.61746,             0.83578,              1.2032,             0.00571,             0.00571,             0.00571
                  15,             0.55497,             0.97381,              1.2162,             0.76755,             0.63344,             0.75514,             0.62157,             0.62785,             0.95498,              1.2252,             0.00538,             0.00538,             0.00538
                  16,             0.53895,             0.83985,              1.2124,             0.72616,              0.7737,             0.80085,             0.68396,              0.5911,             0.80844,              1.1598,             0.00505,             0.00505,             0.00505
                  17,              0.5485,             0.83748,              1.2065,             0.79605,             0.64337,             0.76619,             0.65408,              0.6085,             0.89539,              1.1869,             0.00472,             0.00472,             0.00472
                  18,             0.51975,             0.79126,              1.1857,             0.65291,             0.65998,             0.72179,             0.58428,             0.66938,              1.2638,              1.2715,             0.00439,             0.00439,             0.00439
                  19,             0.50604,             0.75399,              1.1662,             0.80983,             0.70658,             0.84022,             0.73634,             0.57884,             0.71576,              1.1563,             0.00406,             0.00406,             0.00406
                  20,             0.47589,             0.72916,              1.1365,             0.81582,             0.74353,              0.8586,             0.74435,             0.58804,              0.7041,              1.1701,             0.00373,             0.00373,             0.00373
                  21,             0.49083,             0.69346,                1.14,             0.76634,             0.83363,             0.87586,             0.75479,             0.55838,             0.68498,              1.1363,              0.0034,              0.0034,              0.0034
                  22,             0.46872,             0.64246,              1.1232,             0.72796,             0.80227,             0.86993,             0.75772,             0.58664,             0.77617,              1.1401,             0.00307,             0.00307,             0.00307
                  23,             0.45599,             0.58836,              1.1263,             0.83033,             0.85764,             0.90537,             0.80667,             0.51907,             0.57609,              1.0807,             0.00274,             0.00274,             0.00274
                  24,             0.41126,             0.52648,              1.0868,             0.86991,              0.8124,             0.92001,             0.82232,             0.50076,             0.56324,              1.0649,             0.00241,             0.00241,             0.00241
                  25,              0.4277,             0.53354,              1.0958,             0.86821,              0.8536,             0.91883,             0.82183,             0.49318,              0.4992,              1.0374,             0.00208,             0.00208,             0.00208
                  26,             0.42336,             0.50075,              1.0892,             0.91357,             0.80431,             0.91349,              0.8208,             0.49942,             0.47434,              1.0653,             0.00175,             0.00175,             0.00175
                  27,             0.40876,             0.46246,              1.0848,             0.85352,             0.86596,             0.92158,             0.82784,             0.49691,             0.47117,              1.0437,             0.00142,             0.00142,             0.00142
                  28,             0.40302,             0.46972,              1.0746,              0.8655,              0.9152,             0.93943,             0.85337,             0.47119,             0.45842,               1.034,             0.00109,             0.00109,             0.00109
                  29,             0.39204,             0.39047,              1.0653,             0.88524,             0.90037,             0.93677,             0.85486,             0.46528,             0.46052,              1.0186,             0.00076,             0.00076,             0.00076
